Gaia source ID,True distance [pc],True RA [deg],True Dec [deg],Stellar mass [M_\odot],G-band mag,True planet mass [M_J],True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg],\Delta \chi^2
2395753240408007424,119.39912,353.7958059111639,-15.39562526511411,0.82674,10.82242,4.70476,1074.11564,118.36575,0.15338,291.69714,206.42885,51.47433,6.37097,980.73798,118.34558,0.1171,80.2728,33.95411,941.63165,119.0428,119.26223,119.47776,952.01463,990.13768,1038.83674,5.3266,6.49838,8.22156,0.07367,0.25828,0.60189,105.69613,116.10638,127.57755,63.79556
6736067076020049024,21.92682,281.3498780116075,-32.893843807134004,0.49487,10.44345,6.94817,1326.99102,93.27049,0.06311,217.36984,60.9273,182.95156,7.03807,1314.28749,92.75114,0.06185,282.31785,61.18993,417.47529,21.91173,21.91881,21.92592,1307.12167,1314.36883,1321.9093,6.93192,7.04966,7.16414,0.03557,0.0619,0.08825,92.05862,92.74453,93.41469,5430.50051
6735778797811113344,84.19364,282.54706561664614,-33.526358103556866,0.44932,13.76659,10.12395,1350.83242,28.99469,0.32218,278.67741,328.58868,121.49089,10.69646,1395.60005,39.61568,0.33816,115.87153,132.77389,123.67872,84.11925,84.22071,84.32409,1362.63991,1402.11907,1449.88513,10.31426,10.75719,11.21248,0.28129,0.3413,0.39899,35.91043,40.68191,44.86442,1510.41069
5441318467015372416,247.22356,158.08679372915734,-38.3491105347664,0.75759,13.49733,11.598,1828.93112,155.55801,0.01856,271.00973,284.34952,84.48982,12.62677,1655.02779,153.65412,0.20993,318.70331,176.38527,818.17028,246.56437,247.22409,247.83934,1716.09595,1938.89627,2306.86039,12.79621,14.20269,18.15114,0.02095,0.07728,0.18337,128.88984,141.2689,152.271,594.13631
1790571590824812288,142.7249,319.96962125072235,20.913311318137353,0.8923,10.83636,6.02768,1078.43182,74.87775,0.34452,337.71361,43.1705,18.87869,4.5382,1135.4275,44.37546,0.42054,15.29706,39.28034,194.45628,142.37904,142.63678,142.89559,1085.29289,1167.60073,1336.89165,4.42396,6.42529,21.37394,0.21507,0.78159,0.98922,46.28436,63.02856,79.15555,52.08717
4832006403216004608,28.13467,61.543044041248365,-46.411445485212774,0.14372,15.12299,1.63969,1311.05134,44.8593,0.7175,79.89011,140.22181,174.11304,2.21136,1302.39493,54.27153,0.83414,84.80449,136.82241,175.55426,28.12475,28.13868,28.1525,1274.88493,1312.80815,1362.40351,2.01879,2.92807,5.85697,0.80415,0.90899,0.97766,51.33457,62.78188,75.72697,462.25257
4969822935852999936,148.32141,33.51207759270367,-34.73383606835524,0.92237,11.37139,5.72083,1350.1024,172.26565,0.00533,70.03781,255.9343,58.7589,6.99805,1369.08676,143.45116,0.48805,9.777,120.76455,350.03459,148.07843,148.32759,148.57315,1335.93335,1373.41334,1420.21769,6.72308,7.40665,8.29331,0.3416,0.48761,0.66262,129.5878,138.10375,148.7757,408.35426
423905304959887360,117.38299,15.623378991487643,56.09314210989826,0.37924,15.13778,3.1247,1046.26352,22.63755,0.01301,77.83591,243.93666,125.1575,3.35515,1051.49641,18.8007,0.07185,341.25748,137.94939,579.92696,116.60482,116.84885,117.10671,1025.10014,1055.24943,1089.76588,3.28452,3.77743,4.39351,0.05335,0.18122,0.42115,29.11065,40.6537,50.6815,83.40883
1417086152503799168,89.36642,268.20120283374166,53.629520892111145,0.64288,12.69751,6.11772,238.40329,74.02894,0.55459,160.98522,104.32791,23.89771,11.93549,244.1016,83.21852,0.88684,154.7487,104.92416,33.01501,89.27515,89.33902,89.40479,241.73276,243.69248,245.19745,12.40713,54.83469,603.07041,0.9315,0.99878,0.99998,79.3161,88.9041,91.69613,75.58346
6561228990422920832,95.62734,331.44422715496825,-47.39662761007128,0.62451,13.0291,8.65459,428.50433,147.92492,0.04906,303.49536,335.54495,43.16084,7.86927,426.07628,162.52706,0.27231,19.54017,5.71437,103.63801,95.49051,95.60992,95.72856,422.11712,426.18482,429.95592,7.81441,8.48856,9.23131,0.11384,0.24919,0.3974,136.98317,145.96178,155.59165,229.01575
564324102437969792,58.85256,7.981057210752826,78.41398612665037,0.72456,10.65325,3.69749,526.71477,98.49202,0.49646,167.0531,336.2441,64.81293,3.84596,508.70781,123.54051,0.80633,348.4401,165.16885,60.35042,58.83552,58.8644,58.89542,500.49358,508.99563,517.01281,3.87205,13.5829,81.31283,0.7841,0.99395,0.99982,92.49362,102.6343,122.24779,59.01331
2045079189445652096,385.39798,292.2869850489815,31.73646479445667,0.83036,13.43338,11.04948,1188.34641,28.07748,0.1763,302.87312,74.29951,135.23394,12.36773,1213.0631,48.62067,0.11818,338.90401,162.12758,515.72177,383.10374,384.41409,385.85467,1162.12518,1217.74223,1281.40291,11.19826,13.04882,15.29361,0.06807,0.22714,0.52072,39.38254,51.74362,60.89004,78.9948
3366261848960158976,66.34982,102.84176834108342,20.902302209461833,0.91885,9.37735,7.32183,1576.86712,64.7387,0.02837,318.06845,192.26064,199.83908,6.76313,1471.81367,63.56194,0.11232,255.20425,19.77896,684.33681,66.2715,66.33363,66.39615,1443.54506,1497.74628,1569.92714,6.50622,6.8579,7.21954,0.02598,0.08392,0.17062,59.82283,64.33715,68.53092,481.58443
2697283721526790272,119.947,330.13954855356985,5.971142500025631,1.26447,8.32824,6.12289,1173.25923,157.83503,0.08446,114.108,39.1269,11.88087,8.75451,1230.27342,128.05712,0.66392,265.11824,84.6031,384.34454,119.31122,119.58103,119.84832,1151.79645,1217.54969,1287.90649,7.76515,14.67106,49.50348,0.54936,0.92591,0.99457,98.91483,114.59397,132.621,52.23026
2980492387558410112,13.23997,71.90182063625531,-16.933703052251126,0.96568,5.31838,4.8199,2519.52153,80.88647,0.14548,236.33178,276.6534,107.71419,4.61548,1956.85513,83.60798,0.19076,271.73508,98.30231,1316.64307,13.24046,13.24478,13.24914,1963.56904,2125.43834,2476.5403,4.47181,4.58873,4.70926,0.11141,0.19338,0.2914,81.54696,83.56208,85.57816,1978.35899
2529989488308271872,207.65809,9.244212554247854,-3.0366804226649515,0.7192,13.43554,11.70378,509.03118,19.13195,0.44569,228.97608,238.66037,52.36759,11.87078,512.07863,45.01521,0.14725,66.70697,112.73335,172.33957,207.35223,207.90667,208.48863,501.32197,513.22753,523.2023,11.50958,13.99314,25.06917,0.10468,0.37899,0.90796,39.98452,54.35034,68.09153,70.01216
57625030751944448,137.95207,53.11347922562184,19.58634158444518,0.4217,15.08937,11.16299,1538.87863,60.63364,0.04569,8.79281,272.23971,10.46566,10.83632,1551.61682,64.78008,0.21418,304.50619,97.75983,551.74922,137.86618,138.37778,138.8777,1510.06747,1564.40686,1631.97489,9.75567,10.812,11.9068,0.05258,0.16348,0.32315,58.21269,64.12676,69.26364,200.504
695170522295168,180.10682,46.38030666104432,2.114453435851673,1.26435,9.63305,11.2713,1172.15745,18.50351,0.09375,234.56332,27.40555,42.19764,10.57381,1151.55,45.04162,0.14094,314.60687,172.73813,745.13577,179.6922,180.1184,180.55008,1114.39241,1157.16404,1208.01421,10.05536,11.20332,12.61639,0.0632,0.19104,0.38657,34.71791,48.00136,58.95852,149.62566
4592219890913084288,49.98357,277.2401514914227,32.92143124263625,0.46573,12.48823,5.35682,1012.40827,123.25082,0.19955,121.45797,148.1297,47.175,5.18555,1038.14501,121.82561,0.30172,167.10314,146.85267,187.3835,49.97167,49.99833,50.02492,1027.76052,1037.85925,1048.58002,4.97167,5.19374,5.42344,0.22434,0.29205,0.36286,118.73203,121.52448,124.61706,1321.67621
6903212016154568704,93.3078,310.5378528656872,-9.756497610051172,0.43733,14.09782,5.16354,1383.73178,148.05561,0.41499,80.95291,101.63894,127.98054,6.36746,1375.01904,138.22078,0.54805,90.28464,84.60494,216.80555,93.11973,93.28562,93.45668,1341.16218,1409.14844,1506.25184,5.7853,7.0648,10.37771,0.44116,0.63293,0.85247,122.87992,132.44881,141.54989,336.99962
274220781247582464,186.53607,72.5036957539932,55.27052183873609,0.72879,13.12324,7.23737,1490.79751,23.81969,0.91761,3.92226,227.64109,74.16096,7.33339,1317.45712,53.12872,0.51568,196.72542,50.50703,120.90923,185.82747,186.26521,186.73328,1267.28848,1372.64964,1614.71871,7.0001,11.11306,44.54002,0.46008,0.92479,0.99606,46.32109,62.17606,80.07601,80.15722
5525007893344621312,68.60979,130.99758684162111,-41.9924265497509,0.99861,9.26301,9.99597,1483.93072,140.86216,0.05184,225.33094,270.88063,109.50583,9.93346,1510.4964,146.15296,0.10873,26.22274,79.45471,88.93585,68.56031,68.60487,68.6511,1475.49573,1507.45032,1545.41918,9.63447,9.98213,10.33911,0.05137,0.10421,0.16097,140.56834,145.38689,151.13881,2105.16277
2760130534861572992,63.2231,355.5207755940094,10.458910424587902,0.99389,8.9108,9.79881,868.2039,92.88064,0.02694,286.94773,188.83207,125.94997,8.95203,860.09717,89.08907,0.21624,26.22437,9.01801,795.54661,63.11354,63.17004,63.22775,851.10711,863.08451,875.74595,8.49611,9.09536,9.72319,0.06924,0.17541,0.29272,84.58025,88.59316,92.68504,354.3266
1270672916407712256,239.06054,231.4925584853665,26.64454336252728,1.05718,11.26237,7.67591,1003.19732,143.83689,0.08054,91.09032,207.11222,127.39776,7.93916,996.36104,162.20825,0.21705,32.54151,56.3693,381.79143,238.30456,239.01917,239.72555,942.43507,990.23978,1041.07044,8.6616,12.71484,51.19235,0.16899,0.70014,0.98537,102.13179,123.52855,141.97746,94.51849
4353981525334464768,205.6646,248.7976572058273,-5.096589806435998,0.86567,12.00896,8.28294,1149.54041,16.26183,0.1427,35.3514,155.54375,67.29144,8.10611,1191.19687,39.31115,0.31669,248.40115,144.68365,755.12239,204.35583,204.97259,205.61453,1140.16232,1198.89476,1276.80477,7.74872,9.52064,14.87698,0.14216,0.40654,0.85167,37.17934,50.92657,64.2275,79.89595
1744541876558228352,222.56521,316.1407439247483,10.384924476722167,0.75855,13.09193,10.3455,792.3097,48.00739,0.32082,342.89222,287.06038,50.22805,9.01156,825.78514,52.88161,0.12924,181.36685,126.47023,118.78032,223.71444,224.35281,225.01917,795.13105,831.12836,875.34061,8.74142,11.87137,35.16886,0.13643,0.54202,0.97209,46.83084,61.99316,76.71518,59.50182
3923738296056610688,94.86852,178.82982432416455,15.407178926656979,0.74155,11.54959,12.40233,614.55013,136.18797,0.2005,18.69663,347.40526,26.06481,12.68405,607.35048,128.02562,0.0736,78.44956,9.13311,91.20999,94.85546,94.97973,95.10638,599.853,607.26393,614.87598,12.16901,12.91413,13.69632,0.03198,0.10672,0.22612,121.01785,127.20016,133.99124,501.12222
420902951021977088,272.82505,0.3465327519190573,55.93420014883678,0.7343,13.90332,12.24135,1339.82157,151.05994,0.2042,20.06043,190.48991,63.22243,11.7134,1405.57066,143.40669,0.18556,260.88118,83.13573,28.86534,271.91647,272.66087,273.40862,1351.67237,1425.96354,1567.13265,11.13498,12.34942,14.08149,0.08846,0.24734,0.46724,127.21661,137.15913,148.37169,217.00447
1540411224966506496,180.65607,191.4146842656271,43.26486341569566,0.86704,11.73197,3.89964,1398.0995,48.5263,0.18851,92.67556,122.76628,7.60023,6.47919,1317.42977,61.22261,0.72864,91.18415,8.90892,895.94407,180.00734,180.35548,180.67807,1274.59168,1353.14505,1574.15799,5.22486,12.93721,53.8138,0.60185,0.95046,0.99692,55.39755,75.03368,85.95975,64.42296
4753592085781212160,70.11194,45.41122097389353,-47.45559375789312,0.39241,13.89282,2.22596,1272.40694,106.08999,0.21761,328.67757,37.23991,96.25172,2.54519,1229.11265,101.87147,0.30075,96.88068,41.67943,539.07289,70.14728,70.19361,70.23981,1190.297,1228.57375,1271.82603,2.32231,2.53703,2.76733,0.06618,0.20749,0.38325,96.41793,101.78041,107.11153,186.94489
6205944176098390144,100.98542,224.7522402451706,-30.416970327388032,0.82029,10.47442,7.20983,1498.87714,112.25817,0.10677,355.76011,277.41186,119.92826,7.56709,1486.45632,110.48256,0.16103,228.80387,96.16368,342.77364,100.52566,100.7009,100.86653,1439.33461,1541.12615,1766.66919,6.86949,7.73357,8.65971,0.09701,0.26002,0.51399,105.85924,110.5071,116.00535,197.7422
4588014739974076288,280.69942,279.79496352434853,30.942378416499054,0.74147,13.90585,12.15631,652.98768,137.9623,0.06772,31.54617,16.9836,22.86818,12.6836,666.08028,128.35745,0.35019,120.36477,12.13635,178.92439,278.48796,279.44147,280.38199,652.4839,668.0391,683.98439,11.95261,15.00657,33.42026,0.22379,0.58892,0.96126,110.16539,123.33841,136.86434,70.16886
1528150536444706688,241.19488,191.70048773445012,41.41746600336406,0.79412,12.84315,10.58131,1135.86542,93.23209,0.11707,96.50875,244.00571,134.15321,11.72592,1157.37031,99.96141,0.10511,274.64132,58.50481,136.54822,239.89312,240.52552,241.16556,1127.57682,1160.18114,1198.36364,10.54735,11.85115,13.2302,0.04576,0.16268,0.34729,94.30526,100.1895,106.10392,123.55896
5230287276155015296,58.71444,153.44553727579083,-71.57688538497881,0.95406,8.82595,5.91638,1191.91016,30.99155,0.45923,304.11296,149.80089,122.40846,5.55469,1186.44025,21.34105,0.43434,34.91336,73.23384,162.48876,58.70673,58.73414,58.7622,1169.55265,1186.88853,1204.84788,5.359,5.69382,6.05689,0.35338,0.43376,0.51585,19.69123,27.47611,34.14277,611.91851
4994320329796664320,120.08111,7.821962232859544,-39.971272425589525,0.68678,12.51541,3.47093,940.08276,16.72876,0.08592,144.63265,72.07381,67.3839,5.36794,967.33382,72.60684,0.51182,270.94448,99.36979,498.43822,119.76377,119.93872,120.11642,906.72683,950.74034,995.82181,4.45491,5.982,13.88913,0.20054,0.69198,0.97959,55.77044,69.70987,79.17463,68.10632
3479449011895458944,141.63538,176.38538295765173,-30.89341496661833,0.66323,13.66622,6.35493,875.76894,63.426,0.10503,160.9213,276.99813,35.78901,6.83451,913.2734,58.85534,0.12723,342.12295,106.36563,61.68997,141.23727,141.49417,141.73482,896.70849,927.63423,960.13701,6.32185,7.61695,11.5021,0.08611,0.32647,0.91942,50.77358,61.90754,71.23556,91.53645
4579360140353288064,186.37002,271.0460610123426,24.5837026678774,1.07865,11.12968,7.89895,893.34523,14.48986,0.73424,231.04189,257.87599,11.12222,9.4775,864.80502,57.90664,0.47151,38.38663,127.68415,67.75991,185.98565,186.34088,186.70199,844.67137,871.17269,898.67441,8.53543,10.56819,22.46996,0.18962,0.5583,0.95921,49.56027,61.67131,73.22126,100.96448
1834262716894921472,171.50676,300.16255234090687,24.430171804816222,0.60721,13.95409,11.86422,654.69059,24.25938,0.07729,23.74242,210.61875,25.78951,12.55441,660.91292,39.28433,0.12612,72.29761,36.55731,457.20147,170.79742,171.1112,171.43757,653.87672,659.8507,665.92546,11.80896,12.67546,13.57049,0.03644,0.11056,0.21309,31.83619,40.20023,47.22735,329.72718
261712702610192896,161.99331,78.78002398411418,50.42834429033393,1.05518,10.2486,6.99078,796.38452,108.65629,0.00929,210.01028,295.42342,94.06258,10.97147,857.06144,93.79765,0.40878,305.78334,117.09515,740.93473,161.52177,161.9279,162.31747,811.06023,858.53883,904.99282,11.58016,25.61271,114.46269,0.53167,0.96902,0.99881,87.52144,91.38978,100.52811,55.40101
2447144413890233472,42.28958,357.23755203603645,-4.6998258225841685,0.48653,11.94242,6.88125,2500.91885,115.86756,0.05053,334.96188,25.01948,355.90874,7.98898,2668.34896,114.01835,0.06993,10.33938,26.05355,648.15638,42.2522,42.27499,42.29805,2727.1449,3324.00508,3844.7559,8.34002,11.36445,15.06197,0.05322,0.09025,0.13595,105.97,109.09816,113.38607,1779.0358
1956581461324008320,134.14531,331.60953991229877,40.20989291903463,0.77844,11.75499,4.81825,1164.2201,125.26958,0.48339,84.59932,279.31819,176.73393,5.4375,1246.49311,117.84086,0.67227,244.52316,87.4503,156.8867,133.72729,133.90779,134.08546,1227.29491,1333.49091,1581.36668,4.99248,9.67475,25.56582,0.70319,0.94375,0.99263,97.0896,107.3059,121.42418,123.24846
1273011027883263232,123.53886,235.84620278052904,29.826093067243285,0.61324,13.88498,10.11951,342.74058,138.24998,0.28579,220.60771,124.07025,36.40251,12.76361,342.07043,139.53282,0.57406,237.03806,107.62367,61.98766,123.21838,123.48506,123.773,338.77399,341.63289,344.29822,11.08145,13.05025,15.67471,0.41116,0.57635,0.75158,127.39594,136.35787,146.57176,122.40353
2455091649577200256,101.97833,21.3890987829097,-14.930403061422577,0.28169,15.85294,8.74372,790.0913,84.97822,0.1475,158.65156,230.85853,109.63477,10.36584,778.23756,85.0849,0.37956,338.25911,44.22743,76.40774,101.20739,101.63117,102.05694,748.48158,776.29287,809.03217,10.49618,15.11769,50.92785,0.35608,0.91556,0.99818,76.23495,85.05378,90.64287,125.77341
1060182101146458496,177.02396,165.7423837932144,67.3923221996433,1.32041,9.38895,5.98756,1538.94671,116.07769,0.24,235.26841,11.92323,239.32858,10.47715,1446.83139,138.42793,0.90801,72.70153,70.91265,655.16586,176.93856,177.27825,177.58943,1407.90932,1479.4474,1875.58478,6.61689,11.04529,48.18229,0.22693,0.82345,0.99598,98.95668,118.48381,136.69883,78.96937
1993669259843302912,230.38843,359.9513559199108,54.851601135821525,0.56468,14.9532,7.07152,1296.70198,91.6422,0.00119,100.39591,176.44818,145.47894,10.8414,1247.79666,90.84275,0.64527,232.66793,178.23765,640.8944,229.27868,230.15472,231.02582,1220.61345,1279.83252,1341.70382,10.0246,19.23323,99.85551,0.66901,0.97283,0.99927,83.82253,90.22684,97.53139,64.01448
5720054182306604032,102.0831,123.96701439846215,-17.469802460592604,0.29325,15.7237,11.11729,1118.36327,42.43053,0.28858,95.81508,208.23397,23.32593,10.56629,1114.30403,46.01241,0.10091,232.94606,31.76807,1019.54454,101.6586,101.96074,102.27435,1094.3733,1116.04697,1138.17634,9.86796,10.66443,11.49682,0.03909,0.12019,0.23398,39.88555,47.11741,53.47803,315.96153
6081071334868194176,98.98776,194.86679054876237,-51.97668689813335,0.66031,12.89227,3.75289,980.40935,72.24905,0.09069,342.12471,179.67909,141.78518,3.95579,961.1765,70.49031,0.21188,44.69457,176.35008,309.09619,98.8457,98.96707,99.09444,927.08608,967.06655,1014.7257,3.54497,4.27052,5.75865,0.10807,0.37321,0.87711,61.83897,71.43246,78.93594,81.85432
413401189345618944,95.60192,19.871153475205986,57.345950722542405,1.19293,8.60634,8.50115,700.55232,24.62358,0.51931,143.51354,345.40153,73.25512,9.12747,708.24291,26.1969,0.62179,309.22657,177.12717,65.5818,95.40945,95.52543,95.64035,694.58078,708.36874,719.92547,9.18886,11.41329,25.30545,0.54031,0.76102,0.96118,31.85474,45.98439,66.79498,293.51174
1344471037351183616,322.93808,267.7475935331523,39.641176018599424,0.87068,12.70695,11.9379,1234.57103,141.6695,0.25198,163.5789,53.10262,169.5465,12.09209,1249.30518,138.84704,0.33996,89.57231,27.59202,22.59412,321.01157,321.9061,322.8116,1199.07061,1273.22762,1414.40416,11.48124,14.96189,36.15485,0.2598,0.61751,0.9479,105.8696,124.40476,138.70126,100.60215
4477558244225407232,118.37156,276.41626475524646,7.641123259501412,0.80312,11.53875,8.35369,1289.33811,104.10635,0.08249,242.69805,298.07981,199.54246,8.40803,1315.84803,106.75482,0.28836,148.21119,120.75994,524.69048,118.33925,118.51794,118.69275,1283.67303,1312.69596,1341.85722,7.84455,8.60557,9.46783,0.08149,0.23934,0.46477,102.70659,106.26311,110.2968,208.45247
1113770339379913216,54.34533,95.589157374207,72.63677268581249,0.2212,15.24863,11.18693,1621.62502,132.63916,0.02052,223.25015,84.8563,108.60776,11.17216,1654.88299,134.194,0.04579,224.93023,83.80515,126.68598,54.36542,54.42321,54.48294,1635.53599,1652.44214,1670.85164,11.01794,11.18467,11.3511,0.02214,0.04409,0.06873,132.26522,134.06822,135.9507,8924.53445
3369097214570270976,97.86407,94.73659938763504,15.881688702458977,0.66568,12.57018,6.93362,1067.42515,69.07392,0.29027,142.47092,189.93308,160.7029,6.89023,1079.43006,68.56216,0.3997,174.50594,173.24018,230.65815,98.0404,98.16696,98.29242,1054.38641,1080.20641,1107.18949,6.59448,6.97756,7.3844,0.29687,0.39699,0.49632,62.35327,69.06626,75.34276,386.7906
4521812281570391680,135.82903,276.3815838288991,15.679394598633033,0.84118,11.31168,8.99374,1199.61304,123.08758,0.05482,335.95203,197.7125,166.24942,8.95799,1221.96287,116.46286,0.23339,171.0209,9.18834,264.81994,135.18475,135.44247,135.70037,1177.43726,1249.12239,1371.57966,8.45161,9.26749,10.26318,0.10787,0.25029,0.41179,107.72978,114.80292,122.76362,282.30922
5240600931439429760,241.12646,167.7646519731447,-64.01020549011123,0.74216,13.57014,8.55717,471.19602,105.9013,0.00485,255.8905,157.53202,5.03312,12.19298,481.07864,117.27392,0.06875,320.84099,162.45837,79.51552,240.93503,241.4591,241.99961,471.05443,484.2578,503.87437,11.76595,15.32376,54.33996,0.13445,0.59215,0.98808,97.97576,110.34075,123.92296,50.82597
2549548735013848448,149.7712,10.67068182904295,1.6950302888349873,1.45052,8.4948,6.69792,898.91649,150.82835,0.21483,353.47026,169.73649,39.02156,9.75973,951.17115,130.65673,0.13789,335.21875,73.17651,272.98572,149.60826,149.87322,150.16223,912.42494,945.14343,986.68239,9.18274,11.52279,22.95993,0.11858,0.42961,0.92503,111.02402,123.61174,136.59942,68.48897
2438853031065377280,83.9041,355.3493582423846,-8.630345712006076,0.84609,10.43752,4.85503,965.43858,25.66513,0.25925,320.83979,236.80385,100.3141,12.40984,928.55004,72.25514,0.83895,85.22191,69.78778,909.88171,83.49085,83.61325,83.73425,924.51252,941.537,972.52882,6.41214,9.62907,26.07,0.31306,0.71687,0.97302,56.97477,69.21177,80.97746,126.73211
5542245319397657472,92.17825,128.08459561332987,-36.99803284210717,0.43299,14.11073,9.36534,2093.2493,31.46532,0.11459,125.78324,266.8427,40.62105,8.80381,1887.8421,29.19709,0.05728,215.24396,61.73361,1315.78644,92.1111,92.19442,92.28186,1844.55644,1942.64509,2102.44346,8.61398,8.99007,9.54068,0.03375,0.0737,0.12374,25.5531,31.35068,36.63659,2284.69774
5069070902689781248,131.54916,39.79682495487522,-28.298266245643664,1.49213,8.29491,10.53888,1611.00157,68.70785,0.02129,15.11356,69.93226,164.58861,10.46716,1464.49071,53.05147,0.3386,109.16935,69.84757,534.28703,131.14734,131.42186,131.6993,1417.8443,1477.43748,1546.98999,9.60697,10.70792,12.42388,0.09284,0.28283,0.54889,46.24763,56.66996,65.43919,193.64762
